,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,match,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the match burns slowly,target,330167753,,M2_Noun_intransitivePPbeg_72,,F1_Noun_intransitivePPbeg_72,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the fire burns slowly,x,109977098,,,,,,,,,
,,S2,the coal burns slowly,assoc,216958807,,,,,,,,,
,,Un,the field burns slowly,un,890663,,,,,,,,,
,,Un,the house burns slowly,un,145229422,,,,,,,,,
,,,,,,,,,,,,,,
,dad,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the dad sleeps in the bed,target,43251532,,M2_Noun_intransitivePPbeg_74,,F1_Noun_intransitivePPbeg_74,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the lad sleeps in the bed,mp,214962088,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the mum sleeps in the bed,coord,389849458,,,,,,,,,
,,S2,the baby sleeps in the bed,assoc,91106393,,,,,,,,,
,,Un,the cat sleeps in the bed,un,331215233,,,,,,,,,
,,Un,the dog sleeps in the bed,un,23267043,,,,,,,,,
,,,,,,,,,,,,,,
,lad,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the lad sleeps in the bed,target,214962088,,M2_Noun_intransitivePPbeg_77,F2_Noun_intransitivePPbeg_77,,,5,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the dad sleeps in the bed,mp,43251532,,,,,,,,,
,,P3,the lass sleeps in the bed,close,372909472,,,,,,,,,
,,S1,the mum sleeps in the bed,assoc,389849458,,,,,,,,,
,,S2,the baby sleeps in the bed,coord,91106393,,,,,,,,,
,,Un,the cat sleeps in the bed,un,331215233,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,government,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The government rules the country,target,216091441,,M2_Noun_intransitivePPbeg_84,F2_Noun_intransitivePPbeg_84,,,8,4,3,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The president rules the country,assoc,240517264,,,,,,,,,
,,S2,The queen rules the country,assoc,40450855,,,,,,,,,
,,Un,The king rules the country,un,236052655,,,,,,,,,
,,Un,the judge rules the country,un,53310156,,,,,,,,,
,,,,,,,,,,,,,,
,glass,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the glass falls on the floor,target,411912256,,M2_Noun_intransitivePPbeg_85,F2_Noun_intransitivePPbeg_85,,,7,7,1,
,,P1,the lass falls on the floor,mp,33569378,,,,,,,,,
,,P2,the gas falls on the floor,mp,348582857,,,,,,,,,
,,P3,the glasses fall on the floor,close,135694967,,,,,,,,,
,,S1,the cup falls on the floor,coord,285418763,,,,,,,,,
,,S2,the pot falls on the floor,coord,377727364,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,glasses,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the glasses fall on the floor,target,135694967,,M2_Noun_intransitivePPbeg_86,F2_Noun_intransitivePPbeg_86,,,6,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,the glass falls on the floor,close,411912256,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the binoculars fall on the floor,coord,286625042,,,,,,,,,
,,S2,the mirror falls on the floor,assoc,9756169,,,,,,,,,
,,Un,the cup falls on the floor,un,285418763,,,,,,,,,
,,Un,the boy falls on the floor,un,50782650,,,,,,,,,
,,,,,,,,,,,,,,
A,man,,Linguistic unit,P type,Image ID+,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the man runs on the road,target,98478128,M1_ Noun_intransitivePPbeg_1,,F2_Noun_intransitivePPbeg_1,,,8,7,1,
,,P1,the van runs on the road,mp,296073428,,,,,,,,,
,,P2,the lamb runs on the road,close,95782636,,,,,,,,,
,,P3,the ram runs on the road,close,244482793,,,,,,,,,
,,S1,the woman runs on the road,coord,100144160,,,,,,,,,
,,S2,the boy runs on the road,coord,145688519,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,paw,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The paw rests on the chair,target,52607298,M1_Noun_intransitivePPbeg_12,,F2_Noun_intransitivePPbeg_12,,,5,6,1,
,,P1,The pie rests on the chair,distant,281654531,,,,,,,,,
,,P2,The jaw rests on the chair,mp,328631165,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The foot rests on the chair,coord,3259218,,,,,,,,,
,,S2,The hand rests on the chair,coord,111337220,,,,,,,,,
,,Un,The man rests on the chair,un,26845054,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,gate,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the gate is in the field,target,1562797,M1_Noun_intransitivePPbeg_13,,F2_Noun_intransitivePPbeg_13,,,6,7,1,
,,P1,the weight is in the field,mp,286452014,,,,,,,,,
,,P2,the plate is in the field,mp,334952285,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the fence is in the field,coord,328986,,,,,,,,,
,,S2,the style is in the field,coord,151801061,,,,,,,,,
,,Un,the door is in the field,coord,81319195,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,foot,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the foot is on the chair,target,97693517,M1_Noun_intransitivePPbeg_17,,F2_Noun_intransitivePPbeg_17,,,7,7,1,
,,P1,the fool is on the chair,mp,220440994,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the hand is on the chair,coord,29524403,,,,,,,,,
,,S2,the paw is on the chair,coord,52607298,,,,,,,,,
,,Un,the sock is on the chair,coord,180409850,,,,,,,,,
,,Un,the shoe is on the chair,coord,235520443,,,,,,,,,
,,,,,,,,,,,,,,
A,saw,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The saw lies on the table,target,308580296,M1_Noun_intransitivePPbeg_22,,F2_Noun_intransitivePPbeg_22,,,8,7,1,
,,P1,The door lies on the table,mp,138795050,,,,,,,,,
,,P2,The jaw lies on the table,mp,272724764,,,,,,,,,
,,P3,The paw lies on the table,mp,306526184,,,,,,,,,
,,S1,The hammer lies on the table,coord,221714875,,,,,,,,,
,,S2,The knife lies on the table,coord,414583714,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,stairs,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the stairs are next to the tree,target,104359808,M1_Noun_intransitivePPbeg_23,,F2_Noun_intransitivePPbeg_23,,,6,7,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the bears are next to the tree,mp,107576840,,,,,,,,,
,,P3,the pears are next to the tree,mp,210744133,,,,,,,,,
,,S1,the ladders are next to the tree,coord,266374580,,,,,,,,,
,,S2,the shoes are next to the tree,coord,279129368,,,,,,,,,
,,Un,the escalator is next to the tree,un,2981618,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,bull,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bull stands on the grass,target,35054917,M1_Noun_intransitivePPbeg_26,,F2_Noun_intransitivePPbeg_26,,,6,7,1,
,,P1,x,x,x,,,,,,,,,
,,P2,The bulldog stands on the grass,close,281761124,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The cow stands on the grass,coord,41145079,,,,,,,,,
,,S2,The sheep stands on the grass,coord,54959410,,,,,,,,,
,,Un,The horse stands on the grass,un,183036218,,,,,,,,,
,,Un,The goat stands on the grass,un,157673411,,,,,,,,,
,,,,,,,,,,,,,,
A,bottle,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bottle is in her hand,target,282178793,M1_Noun_intransitivePPbeg_28,,F2_Noun_intransitivePPbeg_28,,,7,7,2,
,,P1,The bagel is in her hand,distant,32105731,,,,,,,,,
,,P2,The button is in her hand,close,191616134,,,,,,,,,
,,P3,The butter is in her hand,distant,70546201,,,,,,,,,
,,S1,The jug is in her hand,coord,195430988,,,,,,,,,
,,S2,The cup is in her hand,coord,184890191,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,fort,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the fort is in the garden,target,56914543,M1_Noun_intransitivePPbeg_32,,F2_Noun_intransitivePPbeg_32,,,5,7,1,
,,P1,the port is in the garden,mp,38794261,,,,,,,,,
,,P2,The foot is in the garden,close,259496132,,,,,,,,,
,,P3,the fork  is in the garden,mp,192369584,,,,,,,,,
